year,FR,GB,IN,SE,US
2000,-0.2646927762440029,-0.09771701483606998,-0.4020277392945385,-0.13063790977837705,-0.15442747037492813
2001,-0.21398224827557444,-0.098031867507351,-0.40144663724712476,-0.13031438576922455,-0.09848501423919702
2002,-0.2649813599743697,-0.09834353927318366,-0.39113573013574543,-0.1299928527058752,-0.1576214949012697
2003,4.459669244255187,-0.0908115126048777,1.3314385218396436,-0.12796372546554244,-0.12885832796780283
2004,-0.2652625617843149,-0.08653595820468336,-0.39775841812757856,-0.12887187790536622,-0.15839022509241943
2005,-0.265400483600773,-0.0992599415359034,1.2955477691746782,-0.1290400176552259,-0.042479635571201685
2006,0.6907515090794979,0.7116744316548781,-0.38805915571109983,-0.12870581613050452,1.028078757843339
2007,-0.26574504281134387,-0.09990186521974195,0.21454749134315512,-0.12837641571363742,0.37605376453497696
2008,-0.2659143168209523,-0.09886349385980532,-0.39760007982138684,-0.1280517140631623,-0.1293692597511681
2009,-0.26608163420415326,0.611580613878393,-0.2271649808295536,-0.12497087054820273,0.14226805071343315
2010,-0.21192849483101434,-0.10082367300639695,1.0031012538835224,0.28467079464982276,1.2740197126199515
2011,-0.26642601545833217,-0.10114948871967101,-0.2894868336837992,-0.12707598402647594,3.3852514202986734
2012,-0.26660326747148466,-0.10147081136846325,1.7463536196129874,-0.126741256141382,0.547871126797495
2013,-0.26677880272152965,-0.10178773522867793,-0.3570861506670451,-0.12641170480493902,-0.018861834116024205
2014,-0.2669526538160691,-0.07248648423975858,3.026803381837303,1.1137716934724078,-0.1611651939161718
2015,0.9926300795544928,-0.10240874100291464,4.2504309348546245,-0.12576765272530824,0.02604343568966508
2016,-0.2672797627977834,-0.10273703298968384,4.295462301355304,-0.12542483686862668,0.6927698898681586
