year,FR,GB,IN,SE,US
2000,-1363508.7486438598,-543202.5535043476,-9856756.89243301,-131571.90528074146,-4970127.418676281
2001,-1118475.663588021,-548771.9491350322,-10192575.569979712,-131652.40463775056,-3193736.3649962577
2002,-1405240.799715511,-554358.5210597918,-10277815.275446368,-131427.6127124893,-5149828.890078538
2003,23963597.45817117,-515781.9592759769,36187582.68747373,-129472.72095106622,-4248242.939095359
2004,-1443244.4235081724,-495208.9421148166,-11152189.70577296,-130867.68841597388,-5273065.697305517
2005,-1458489.4070263065,-571578.7401919126,37375060.80959317,-132127.32585428306,-1430291.0316490238
2006,3827624.4472983363,4139803.7069452927,-11529688.810018199,-133360.0949324539,35130022.311113395
2007,-1482999.1852995697,-586261.7442430521,6562186.953102312,-135138.8352412615,13060430.870131351
2008,-1495305.965662345,-585248.3379092893,-12514018.002503326,-137393.52265081977,-4580537.832752252
2009,-1513947.9664325267,3660961.8140066494,-7339769.918381956,-136797.03117822442,5154555.587399403
2010,-1227220.0383797241,-613661.4896441741,33260441.77806292,318186.84949362214,47367018.045806795
2011,-1578602.153485844,-629526.4806628851,-9894025.089080345,-145521.28726705883,129535898.058594
2012,-1623081.4534740245,-649069.0904890414,61494527.19280501,-149044.96310313925,21644981.390331116
2013,-1674401.968309914,-670830.5329784497,-12949192.036729766,-152994.64267714607,-771644.5811312274
2014,-1728965.5695178884,-490521.63321985974,113400627.24870405,1385220.752661165,-6826806.615144801
2015,6615555.549350086,-708085.9677972074,165019044.81906962,-160108.86297807147,1142113.017161271
2016,-1823864.8865525378,-723631.7335853487,173542819.85571504,-162787.28048887633,31362779.28437765
