year,AU,FR,GB,IN,SE,US
2000,-0.04860312513050111,-0.2846360848185745,-0.08240150860770187,-0.3694950076928894,-0.12493785814788123,-0.15438393241804152
2001,-0.04897427672390626,-0.10164404452857839,-0.08261083482607393,-0.36900654272722616,-0.12451080401678186,-0.10367756988065942
2002,-0.03600217890465893,-0.28499074871739466,-0.08281821489912337,-0.3589377923130884,-0.12408659383905295,-0.1583600423818906
2003,-0.046162272183534546,4.496210520443434,-0.060854212017138275,1.0985757795064752,-0.12101819475328991,-0.12746998397630216
2004,0.25995064243748667,-0.2458396484075378,-0.06959263353726676,-0.36326431865418457,-0.12257281906242587,-0.16009918602464185
2005,-0.03224378023032207,-0.2855057532620206,-0.08342894635188224,1.0541236508926763,-0.12283074558732456,-0.013716214131526358
2006,-0.035536281078856126,0.787052758538601,0.5088425411314782,-0.34466248843702924,-0.12238959400641809,1.0186595727531749
2007,-0.048486316293160595,-0.2859276917589549,-0.0838588046630823,0.19731298439785064,-0.12195503820711917,0.3546342156367298
2008,-0.048674905128449575,-0.2861350238334121,-0.08263279977135236,-0.3653071365783472,-0.12152693143423117,-0.12921878375234774
2009,-0.0013319591658101963,-0.2689159235872502,0.5853704399037057,-0.17749956584989315,-0.11524017216211675,0.11944585576432017
2010,-0.0464990189978363,-0.2099730355999394,-0.08447742443670948,0.8460581133847527,0.18577014824661509,1.3064067623262603
2011,1.0957615598441046,-0.286747087000357,-0.08469763338234197,-0.2891150633266111,-0.12024098989183069,3.321297552705108
2012,0.2870725409036344,-0.2730584921026109,-0.08491501453924635,1.413404884101703,-0.11979976583059052,0.5342395737739516
2013,-0.005829212967850048,-0.2871501932620409,-0.0851296223804732,-0.33100540282523516,-0.11936565219932174,0.00873236272498724
2014,0.010006215073705076,-0.2873488858453372,-0.01305693208356675,2.3445784004320784,1.194525537496461,-0.16281271201570663
2015,-0.043816285730902446,1.1601221615870718,-0.08555072735563017,3.550696201148662,-0.1185180763261149,0.04573920172094945
2016,0.020360980913473166,-0.28745223859226815,-0.08577431329545024,3.629251473564655,-0.11806674054745653,0.6920152067793542
